"Electricity statistics by Region, Technology, Data Type and Year"

"Region","Technology","Data Type","Year",Electricity statistics
"World","Total renewable","Electricity Installed Capacity (MW)","2000",764381.74
"World","Total renewable","Electricity Installed Capacity (MW)","2001",785527.95
"World","Total renewable","Electricity Installed Capacity (MW)","2002",806421.53
"World","Total renewable","Electricity Installed Capacity (MW)","2003",836678.69
"World","Total renewable","Electricity Installed Capacity (MW)","2004",869536.00
"World","Total renewable","Electricity Installed Capacity (MW)","2005",908759.38
"World","Total renewable","Electricity Installed Capacity (MW)","2006",950291.88
"World","Total renewable","Electricity Installed Capacity (MW)","2007",999740.51
"World","Total renewable","Electricity Installed Capacity (MW)","2008",1062883.81
"World","Total renewable","Electricity Installed Capacity (MW)","2009",1144020.83
"World","Total renewable","Electricity Installed Capacity (MW)","2010",1226911.58
"World","Total renewable","Electricity Installed Capacity (MW)","2011",1331616.53
"World","Total renewable","Electricity Installed Capacity (MW)","2012",1445932.16
"World","Total renewable","Electricity Installed Capacity (MW)","2013",1569868.18
"World","Total renewable","Electricity Installed Capacity (MW)","2014",1696346.93
"World","Total renewable","Electricity Installed Capacity (MW)","2015",1849073.34
"World","Total renewable","Electricity Installed Capacity (MW)","2016",2017387.63
"World","Total renewable","Electricity Installed Capacity (MW)","2017",2183975.61
"World","Total renewable","Electricity Installed Capacity (MW)","2018",2354049.83
"World","Total renewable","Electricity Installed Capacity (MW)","2019",2538219.37
"World","Total renewable","Electricity Installed Capacity (MW)","2020",2808097.06
"World","Total renewable","Electricity Installed Capacity (MW)","2021",3072574.85
"World","Total renewable","Electricity Installed Capacity (MW)","2022",3375095.80
"World","Total renewable","Electricity Installed Capacity (MW)","2023",3860901.27
"World","Total renewable","Electricity Installed Capacity (MW)","2024",4442755.10
"World","Total renewable","Electricity Generation (GWh)","2000",2850950.41
"World","Total renewable","Electricity Generation (GWh)","2001",2795859.44
"World","Total renewable","Electricity Generation (GWh)","2002",2894517.79
"World","Total renewable","Electricity Generation (GWh)","2003",2920749.99
"World","Total renewable","Electricity Generation (GWh)","2004",3134294.97
"World","Total renewable","Electricity Generation (GWh)","2005",3294841.45
"World","Total renewable","Electricity Generation (GWh)","2006",3448711.95
"World","Total renewable","Electricity Generation (GWh)","2007",3553661.42
"World","Total renewable","Electricity Generation (GWh)","2008",3776084.89
"World","Total renewable","Electricity Generation (GWh)","2009",3909521.50
"World","Total renewable","Electricity Generation (GWh)","2010",4200674.73
"World","Total renewable","Electricity Generation (GWh)","2011",4418875.53
"World","Total renewable","Electricity Generation (GWh)","2012",4762327.48
"World","Total renewable","Electricity Generation (GWh)","2013",5035764.52
"World","Total renewable","Electricity Generation (GWh)","2014",5307352.64
"World","Total renewable","Electricity Generation (GWh)","2015",5516414.30
"World","Total renewable","Electricity Generation (GWh)","2016",5871129.94
"World","Total renewable","Electricity Generation (GWh)","2017",6237917.55
"World","Total renewable","Electricity Generation (GWh)","2018",6633833.72
"World","Total renewable","Electricity Generation (GWh)","2019",6997005.03
"World","Total renewable","Electricity Generation (GWh)","2020",7464886.43
"World","Total renewable","Electricity Generation (GWh)","2021",7883428.51
"World","Total renewable","Electricity Generation (GWh)","2022",8457269.38
"World","Total renewable","Electricity Generation (GWh)","2023",8928492.70
"World","Total renewable","Electricity Generation (GWh)","2024",-
"World","Solar energy","Electricity Installed Capacity (MW)","2000",1220.14
"World","Solar energy","Electricity Installed Capacity (MW)","2001",1330.77
"World","Solar energy","Electricity Installed Capacity (MW)","2002",1630.56
"World","Solar energy","Electricity Installed Capacity (MW)","2003",2341.82
"World","Solar energy","Electricity Installed Capacity (MW)","2004",3426.25
"World","Solar energy","Electricity Installed Capacity (MW)","2005",4922.18
"World","Solar energy","Electricity Installed Capacity (MW)","2006",6485.61
"World","Solar energy","Electricity Installed Capacity (MW)","2007",8955.67
"World","Solar energy","Electricity Installed Capacity (MW)","2008",15228.93
"World","Solar energy","Electricity Installed Capacity (MW)","2009",23544.18
"World","Solar energy","Electricity Installed Capacity (MW)","2010",41371.46
"World","Solar energy","Electricity Installed Capacity (MW)","2011",72420.90
"World","Solar energy","Electricity Installed Capacity (MW)","2012",102293.97
"World","Solar energy","Electricity Installed Capacity (MW)","2013",139004.11
"World","Solar energy","Electricity Installed Capacity (MW)","2014",178057.82
"World","Solar energy","Electricity Installed Capacity (MW)","2015",225719.37
"World","Solar energy","Electricity Installed Capacity (MW)","2016",297397.49
"World","Solar energy","Electricity Installed Capacity (MW)","2017",391501.50
"World","Solar energy","Electricity Installed Capacity (MW)","2018",486528.44
"World","Solar energy","Electricity Installed Capacity (MW)","2019",588691.16
"World","Solar energy","Electricity Installed Capacity (MW)","2020",719664.21
"World","Solar energy","Electricity Installed Capacity (MW)","2021",862990.82
"World","Solar energy","Electricity Installed Capacity (MW)","2022",1056372.97
"World","Solar energy","Electricity Installed Capacity (MW)","2023",1413473.03
"World","Solar energy","Electricity Installed Capacity (MW)","2024",1866306.43
"World","Solar energy","Electricity Generation (GWh)","2000",1317.63
"World","Solar energy","Electricity Generation (GWh)","2001",1684.64
"World","Solar energy","Electricity Generation (GWh)","2002",1957.48
"World","Solar energy","Electricity Generation (GWh)","2003",2376.68
"World","Solar energy","Electricity Generation (GWh)","2004",3072.19
"World","Solar energy","Electricity Generation (GWh)","2005",4387.92
"World","Solar energy","Electricity Generation (GWh)","2006",5998.61
"World","Solar energy","Electricity Generation (GWh)","2007",8081.16
"World","Solar energy","Electricity Generation (GWh)","2008",12755.60
"World","Solar energy","Electricity Generation (GWh)","2009",20948.12
"World","Solar energy","Electricity Generation (GWh)","2010",33789.96
"World","Solar energy","Electricity Generation (GWh)","2011",65665.55
"World","Solar energy","Electricity Generation (GWh)","2012",101665.43
"World","Solar energy","Electricity Generation (GWh)","2013",137365.01
"World","Solar energy","Electricity Generation (GWh)","2014",192590.35
"World","Solar energy","Electricity Generation (GWh)","2015",252301.59
"World","Solar energy","Electricity Generation (GWh)","2016",324828.14
"World","Solar energy","Electricity Generation (GWh)","2017",435595.21
"World","Solar energy","Electricity Generation (GWh)","2018",560272.82
"World","Solar energy","Electricity Generation (GWh)","2019",691604.42
"World","Solar energy","Electricity Generation (GWh)","2020",841856.53
"World","Solar energy","Electricity Generation (GWh)","2021",1036831.93
"World","Solar energy","Electricity Generation (GWh)","2022",1297212.90
"World","Solar energy","Electricity Generation (GWh)","2023",1623750.88
"World","Solar energy","Electricity Generation (GWh)","2024",-
"World","Wind energy","Electricity Installed Capacity (MW)","2000",16960.93
"World","Wind energy","Electricity Installed Capacity (MW)","2001",23954.52
"World","Wind energy","Electricity Installed Capacity (MW)","2002",30723.20
"World","Wind energy","Electricity Installed Capacity (MW)","2003",38659.72
"World","Wind energy","Electricity Installed Capacity (MW)","2004",47660.07
"World","Wind energy","Electricity Installed Capacity (MW)","2005",58462.90
"World","Wind energy","Electricity Installed Capacity (MW)","2006",73143.36
"World","Wind energy","Electricity Installed Capacity (MW)","2007",91516.42
